run,classname,last,count,delta,lenmean,lensd,lenmax
1,Float,38800,78670,39870,,,
1,String,43143,46750,3607,28.676086,463.776937,57728.000000
1,Float,38800,73119,34319,,,
1,Array,1957,2084,127,10.037908,45.347657,510.000000
1,String,43143,46844,3701,28.844057,463.329476,57728.000000
1,Regexp,1133,1144,11,,,
1,Array,1957,2086,129,10.069511,45.331578,510.000000
1,Float,38800,77546,38746,,,
1,Class,923,985,62,,,
1,Regexp,1133,1144,11,,,
1,String,43143,46947,3804,29.026817,462.840039,57728.000000
1,Proc,368,458,90,,,
1,Class,923,985,62,,,
1,Array,1957,2090,133,10.099522,45.296086,510.000000
1,Module,364,379,15,,,
1,Proc,368,458,90,,,
1,Regexp,1133,1144,11,,,
1,Hash,216,263,47,17.844106,59.945032,519.000000
1,Module,364,379,15,,,
1,Class,923,985,62,,,
1,Gem::Version,238,239,1,,,
1,Hash,216,263,47,17.866920,59.976151,519.000000
1,Proc,368,458,90,,,
1,Gem::Requirement,221,222,1,,,
1,Gem::Version,238,239,1,,,
1,Module,364,379,15,,,
1,Time,94,129,35,,,
1,Gem::Requirement,221,222,1,,,
1,Hash,216,265,49,17.811321,59.857108,519.000000
1,Gem::Dependency,71,72,1,,,
1,Time,94,133,39,,,
1,Gem::Version,238,239,1,,,
1,Mongrel::Stats,14,42,28,,,
1,Gem::Dependency,71,72,1,,,
1,Gem::Requirement,221,222,1,,,
1,Bignum,8,26,18,,,
1,Mongrel::Stats,14,48,34,,,
1,Time,94,136,42,,,
1,Set,19,20,1,61.400000,155.109944,519.000000
1,Bignum,8,26,18,,,
1,Gem::Dependency,71,72,1,,,
1,Mime::Type,14,15,1,,,
1,Set,19,20,1,61.400000,155.109944,519.000000
1,Mongrel::Stats,14,50,36,,,
1,StringIO,3,12,9,4841.000000,16655.238674,57728.000000
1,Mime::Type,14,15,1,,,
1,Bignum,8,32,24,,,
1,File,10,11,1,,,
1,StringIO,3,12,9,4841.000000,16655.238674,57728.000000
1,Set,19,20,1,61.400000,155.109944,519.000000
3,MatchData,10,11,1,2.454545,1.694912,5.000000
4,Float,77546,212920,135374,,,
4,String,46947,45629,-1318,33.819939,527.603517,57728.000000
4,Array,2090,4625,2535,4.961946,29.006902,510.000000
4,Regexp,1144,1145,1,,,
4,Proc,458,598,140,,,
4,Hash,265,282,17,17.581560,58.536804,519.000000
4,Gem::Version,239,238,-1,,,
4,Gem::Requirement,222,221,-1,,,
4,Time,136,193,57,,,
4,Range,169,172,3,,,
4,YAML::Syck::Scalar,12,150,138,,,
4,Mongrel::Stats,50,75,25,,,
4,Gem::Dependency,72,71,-1,,,
4,Bignum,32,56,24,,,
4,StringIO,12,15,3,3900.266667,14891.236567,57728.000000
4,File,11,12,1,,,
5,Float,212920,348279,135359,,,
5,String,45629,46030,401,34.981990,542.446503,57728.000000
5,Array,4625,5602,977,4.388790,26.440459,510.000000
5,Regexp,1145,1146,1,,,
5,Proc,598,654,56,,,
5,Hash,282,297,15,17.313131,57.441800,519.000000
5,Time,193,226,33,,,
5,YAML::Syck::Scalar,150,204,54,,,
5,Range,172,173,1,,,
5,Mongrel::Stats,75,92,17,,,
5,Bignum,56,64,8,,,
5,StringIO,15,18,3,3259.500000,13593.804680,57728.000000
5,File,12,13,1,,,
6,Float,348279,114975,-233304,,,
6,String,46030,44160,-1870,29.537455,477.122337,57728.000000
6,Array,5602,1984,-3618,9.141129,43.602688,510.000000
6,Regexp,1146,1142,-4,,,
6,Proc,654,456,-198,,,
6,Hash,297,243,-54,18.197531,61.720863,519.000000
6,Range,173,169,-4,,,
6,Time,226,120,-106,,,
6,Mongrel::Stats,92,37,-55,,,
6,Bignum,64,14,-50,,,
6,YAML::Syck::Scalar,204,12,-192,,,
7,Float,114975,149511,34536,,,
7,String,44160,44292,132,29.667886,476.455646,57728.000000
7,Array,1984,2004,20,9.134232,43.466383,510.000000
7,Hash,243,259,16,18.258687,60.275391,519.000000
7,Time,120,144,24,,,
7,Mongrel::Stats,37,56,19,,,
7,StringIO,9,18,9,3238.722222,13598.901131,57728.000000
7,Float,114975,209063,94088,,,
8,String,44292,44447,155,29.978784,475.650302,57728.000000
8,Array,2004,2010,6,9.126368,43.339813,510.000000
8,Proc,456,455,-1,,,
8,Float,149511,241136,91625,,,
8,Hash,259,256,-3,18.871094,61.043435,519.000000
8,String,44292,44579,287,30.212881,474.970066,57728.000000
8,Time,144,160,16,,,
8,Array,2004,2017,13,9.156668,43.275709,510.000000
8,Mongrel::Stats,56,72,16,,,
8,Float,149511,253415,103904,,,
